"Date","All"
"2026-08-26T00:00:00",0
"2026-08-27T00:00:00",0
"2026-08-28T00:00:00",0
"2026-08-29T00:00:00",0
"2026-08-30T00:00:00",0
"2026-08-31T00:00:00",0
"2026-09-01T00:00:00",0
"2026-09-02T00:00:00",0
"2026-09-03T00:00:00",0
"2026-09-04T00:00:00",0
"2026-09-05T00:00:00",6
"2026-09-06T00:00:00",8
"2026-09-07T00:00:00",3
"2026-09-08T00:00:00",3
"2026-09-09T00:00:00",3
"2026-09-10T00:00:00",5
"2026-09-11T00:00:00",10
"2026-09-12T00:00:00",15
"2026-09-13T00:00:00",3
"2026-09-14T00:00:00",2
"2026-09-15T00:00:00",11
"2026-09-16T00:00:00",4
"2026-09-17T00:00:00",7
"2026-09-18T00:00:00",9
"2026-09-19T00:00:00",6
